Horodateur,"Pour vous, être productif, c'est avant tout...  ","En moyenne, combien d'heures dormez-vous par nuit? ",Combien d'heures avez-vous dormi la nuit dernière? ,À quelle fréquence avez-vous un sommeil réparateur ?  ,Comment évalueriez-vous votre hygiène de vie actuelle ?  ,"À quelle fréquence pratiquez-vous une activité physique (sport, marche active, etc.) ? ","En moyenne, combien de litres d'eau bois-tu par jour ? ",Consommation quotidienne de café ou boissons énergétiques (nombre de tasses/verres),Avez-vous l'impression d'avoir été efficace dans vos tâches aujourd'hui ?  ,Quel est votre niveau de stress général ces derniers jours ?  ,Niveau moyen de productivité ces 7 derniers jours.,Niveau d’énergie aujourd’hui.,  Quel est votre âge ?  ,Quelle est votre situation actuelle ?  
26/02/2026 12:49:07,Réussir à équilibrer travail et vie perso,7h ,6h,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,2,2,Déterminé (Très productif et concentré),4,2,4,18-25 ans,Étudiant(e)
26/02/2026 12:49:27,Réussir à équilibrer travail et vie perso,6 heure de temps,6 heure de temps,Tous les jours,Moyenne,Tous les jours,3,1,Déterminé (Très productif et concentré),5,3,1,18-25 ans,Étudiant(e)
26/02/2026 13:01:01,Travailler vite et efficacement,9h,8h,Jamais,Moyenne,1 à 2 fois par semaine,1,2,Que dalle (Rien fait du tout),1,4,4,18-25 ans,Étudiant(e)
26/02/2026 13:04:01,Réussir à équilibrer travail et vie perso,8h,5h,Souvent (3 à 5 fois par semaine),Très bonne,3 à 4 fois par semaine,1,1,Déterminé (Très productif et concentré),2,4,4,18-25 ans,Étudiant(e)
26/02/2026 13:07:17,C'est de réussir à accomplir ses tâches dans un temps respectable ,4,3,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,3,2,Que dalle (Rien fait du tout),4,2,1,18-25 ans,Étudiant(e)
26/02/2026 13:17:55,Réussir à équilibrer travail et vie perso,8h de T,9h de T,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,3,2,"Propre (Efficacité correcte, boulot fait)",3,2,5,26-45 ans,Étudiant(e)
26/02/2026 13:18:06,Travailler vite et efficacement,4 a 5 heures ,6 hrs ,Parfois (1 à 2 fois par semaine),Moyenne,Jamais,2,3,"Mou du genou (Petite forme, beaucoup de distractions)",3,4,3,18-25 ans,Étudiant(e)
26/02/2026 13:19:50,Avoir l'esprit calme et concentré,6 heures ,6 heures ,Parfois (1 à 2 fois par semaine),Moyenne,1 à 2 fois par semaine,5,1,"Mou du genou (Petite forme, beaucoup de distractions)",4,3,2,18-25 ans,Étudiant(e)
26/02/2026 13:29:51,Réussir à équilibrer travail et vie perso,8h,5h,Tous les jours,Très bonne,Tous les jours,2,1,"Propre (Efficacité correcte, boulot fait)",1,4,5,18-25 ans,Étudiant(e)
26/02/2026 16:00:10,Réussir à équilibrer travail et vie perso,7 heures ,7 heures,Souvent (3 à 5 fois par semaine),Moyenne,Tous les jours,1,0,"Propre (Efficacité correcte, boulot fait)",5,3,4,18-25 ans,Étudiant(e)
26/02/2026 16:08:44,Travailler vite et efficacement,5h,Environs 5h 20 mnt ,Parfois (1 à 2 fois par semaine),Très bonne,Tous les jours,3,1,"Mou du genou (Petite forme, beaucoup de distractions)",1,4,3,18-25 ans,Étudiant(e)
